Bokföringsdatum;Valutadatum;Verifikationsnummer;Text;Belopp;Saldo
2025-08-21;2025-08-21;5484153245;SYSTEMBOLAGE/25-08-20;-776.000;2659.380
2025-08-21;2025-08-21;5484562512;NONNI SUSHI /25-08-20;-189.000;3435.380
2025-08-21;2025-08-21;5484016530;SL          /25-08-20;-86.000;3624.380
2025-08-20;2025-08-20;5484043648;COOP KONSUM /25-08-19;-104.850;3710.380
2025-08-20;2025-08-20;5484855520;SL          /25-08-19;-43.000;3815.230
2025-08-19;2025-08-19;5484051218;OKQ8        /25-08-17;-691.290;3858.230
2025-08-19;2025-08-19;5490990004;PETER HENELL;3000.000;4549.520
2025-08-18;2025-08-17;5484087828;COOP KONSUM /25-08-16;-177.850;1549.520
2025-08-18;2025-08-17;5484038034;SL          /25-08-16;-86.000;1727.370
2025-08-18;2025-08-17;5484611251;OLSTUGAN HOR/25-08-16;-176.000;1813.370
2025-08-18;2025-08-16;5484012058;OHLSSONS TYG/25-08-15;-1150.400;1989.370
2025-08-18;2025-08-16;5484313224;SL          /25-08-15;-43.000;3139.770
2025-08-18;2025-08-16;5490990789;46720388884;-230.000;3182.770
2025-08-18;2025-08-16;5490990789;Ö-VIKS HUSTE;-99.000;3412.770
2025-08-15;2025-08-15;5484070794;ICA NARA BER/25-08-14;-31.000;3511.770
2025-08-15;2025-08-15;5484845239;COOP KONSUM /25-08-14;-40.950;3542.770
2025-08-15;2025-08-15;5484845235;COOP KONSUM /25-08-14;-109.450;3583.720
2025-08-14;2025-08-14;5484787259;SYSTEMBOLAGE/25-08-13;-863.000;3693.170
2025-08-14;2025-08-14;5484344480;COOR POSTNOR/25-08-13;-122.000;4556.170
2025-08-14;2025-08-14;5484640378;SL          /25-08-13;-86.000;4678.170
2025-08-14;2025-08-14;5490990004;PETER HENELL;3000.000;4764.170
2025-08-13;2025-08-13;5484376728;COOP KONSUM /25-08-12;-421.960;1764.170
2025-08-12;2025-08-12;5484351255;COOP KONSUM /25-08-11;-83.400;2186.130
2025-08-12;2025-08-12;5490990789;46722419153;80.000;2269.530
2025-08-11;2025-08-11;5490990789;46722419153;-1845.000;2189.530
2025-08-11;2025-08-11;5490990004;PETER HENELL;3000.000;4034.530
2025-08-06;2025-08-06;5484283050;WEBHALLEN SV/25-08-05;-249.000;1034.530
2025-08-06;2025-08-06;5484569465;MELANDERS   /25-08-04;-290.000;1283.530
2025-08-06;2025-08-06;5484563154;BARRELS SA D/25-08-04;-156.000;1573.530
2025-08-06;2025-08-06;5484190221;SL          /25-08-05;-43.000;1729.530
2025-08-05;2025-08-05;5484718507;SL          /25-08-04;-86.000;1772.530
2025-08-04;2025-08-03;5484514326;RESTAURANGSM/25-08-02;-906.000;1858.530
2025-08-04;2025-08-02;5484390522;ICA NARA BER/25-08-01;-336.440;2764.530
2025-08-01;2025-08-01;5484035740;COOP KONSUM /25-07-31;-394.020;3100.970
2025-07-31;2025-07-31;5484448778;OKQ8        /25-07-30;-45.900;3494.990
2025-07-30;2025-07-30;5484172885;ICA NARA BER/25-07-29;-71.190;3540.890
2025-07-30;2025-07-30;5490990004;56903307478 ;-15000.000;3612.080
2025-07-28;2025-07-28;5484702512;COOP KONSUM /25-07-27;-129.050;18612.080
2025-07-28;2025-07-26;5484802108;ICA NARA BER/25-07-25;-30.000;18741.130
2025-07-25;2025-07-25;5484274855;SL          /25-07-23;-43.000;18771.130
2025-07-24;2025-07-24;5484620115;HAWAII POKE /25-07-23;-155.000;18814.130
2025-07-23;2025-07-23;5490990004;PETER HENELL;12000.000;18969.130
2025-07-22;2025-07-22;5484104005;SYSTEMBOLAGE/25-07-21;-1898.200;6969.130
2025-07-22;2025-07-22;5484164928;STORA COOP A/25-07-21;-885.970;8867.330
2025-07-21;2025-07-21;5490990004;PETER HENELL;5000.000;9753.300
2025-07-21;2025-07-21;5484656029;COOP KONSUM /25-07-20;-165.410;4753.300
2025-07-21;2025-07-21;5484656002;COOP KONSUM /25-07-20;-229.900;4918.710
2025-07-21;2025-07-21;5484615469;SL          /25-07-20;-43.000;5148.610
2025-07-21;2025-07-21;5490990004;PETER HENELL;3000.000;5191.610
2025-07-21;2025-07-20;5484333321;KATRINEHOLMS/25-07-19;-120.000;2191.610
2025-07-21;2025-07-20;5484303916;QSTAR KATRIN/25-07-19;-690.650;2311.610
2025-07-21;2025-07-20;5484324919;GRANIT 40413/25-07-20;-504.000;3002.260
2025-07-21;2025-07-19;5484374469;APOTEK HJART/25-07-18;-162.480;3506.260
2025-07-21;2025-07-19;5484833001;COOP KATRINE/25-07-18;-57.950;3668.740
2025-07-18;2025-07-18;5490990789;46768847083;-134.000;3726.690
2025-07-17;2025-07-17;5484635522;ICA SUPERMAR/25-07-16;-138.940;3860.690
2025-07-17;2025-07-17;5490990789;46768847083;-134.000;3999.630
2025-07-15;2025-07-15;5484608162;MAXI ICA STO/25-07-14;-175.700;4133.630
2025-07-14;2025-07-13;5490990789;46768847083;50.000;4309.330
2025-07-14;2025-07-13;5490990789;46704984981;50.000;4259.330
2025-07-14;2025-07-12;5484781083;OOB KATRINEH/25-07-11;-138.000;4209.330
2025-07-11;2025-07-11;5484232624;BYGGMAX KATR/25-07-10;-189.000;4347.330
2025-07-11;2025-07-11;5490990789;46768847083;-124.000;4536.330
2025-07-11;2025-07-11;5490990004;PETER HENELL;3000.000;4660.330
2025-07-10;2025-07-10;5484826355;ICA SUPERMAR/25-07-09;-374.240;1660.330
2025-07-08;2025-07-08;5484675709;MAXI ICA STO/25-07-07;-562.740;2034.570
2025-07-07;2025-07-06;5484847239;MAXI ICA STO/25-07-05;-311.530;2597.310
2025-07-07;2025-07-05;5484783594;RESTAURANGSM/25-07-02;-542.000;2908.840
2025-07-07;2025-07-05;5484119196;RESTAURANGSM/25-07-04;-158.000;3450.840
2025-07-07;2025-07-05;5484118219;PIZZERIA RUN/25-07-04;-215.000;3608.840
2025-07-07;2025-07-05;5484153391;BERGSHAMRA P/25-07-04;-120.000;3823.840
2025-07-04;2025-07-04;5484404320;COOP KONSUM /25-07-03;-68.950;3943.840
2025-07-04;2025-07-04;5484404297;COOP KONSUM /25-07-03;-20.000;4012.790
2025-07-04;2025-07-04;5484020716;SUSHI HOUSE /25-07-03;-145.000;4032.790
2025-07-01;2025-07-01;5484640149;COOP KONSUM /25-06-30;-63.450;4177.790
2025-06-30;2025-06-30;5484260784;CIRCLE K MOR/25-06-29;-69.000;4241.240
2025-06-30;2025-06-30;5490990789;46702984673;-2000.000;4310.240
2025-06-30;2025-06-29;5490990789;46708338938;149.000;6310.240
2025-06-30;2025-06-29;5490990789;46702984673;150.000;6161.240
2025-06-30;2025-06-29;5490990789;46720388884;-175.000;6011.240
2025-06-27;2025-06-27;5484765395;ALVDALENSFIS/25-06-26;-1236.000;6186.240
2025-06-27;2025-06-27;5484452502;ICA SUPERMAR/25-06-26;-143.700;7422.240
2025-06-26;2025-06-26;5484211711;MAX BURGERS /25-06-25;-127.000;7565.940
2025-06-26;2025-06-26;5484596775;COOR POSTNOR/25-06-25;-122.000;7692.940
2025-06-26;2025-06-26;5484379022;O LEARYS MOR/25-06-25;-99.000;7814.940
2025-06-26;2025-06-26;5484379021;O LEARYS MOR/25-06-25;-99.000;7913.940
2025-06-26;2025-06-26;5484878867;COOP KONSUM /25-06-25;-66.500;8012.940
2025-06-26;2025-06-26;5484820721;SL          /25-06-25;-86.000;8079.440
2025-06-26;2025-06-26;5490990789;JIGHEAD AB;-210.000;8165.440
2025-06-26;2025-06-26;5490990004;PETER HENELL;6000.000;8375.440
2025-06-25;2025-06-25;5484828292;SOEDER SPORT/25-06-24;-403.000;2375.440
2025-06-25;2025-06-25;5484269788;KERSH & HEDS/25-06-24;-139.000;2778.440
2025-06-25;2025-06-25;5484232698;BERGIS BAGER/25-06-24;-33.000;2917.440
2025-06-25;2025-06-25;5484687875;COOP KONSUM /25-06-24;-347.650;2950.440
2025-06-25;2025-06-25;5484632371;SL          /25-06-24;-86.000;3298.090
2025-06-24;2025-06-24;5484055759;ALEWALDS SPO/25-06-23;-3220.000;3384.090
2025-06-24;2025-06-24;5484494776;SL          /25-06-23;-43.000;6604.090
2025-06-23;2025-06-23;5490990004;PETER HENELL;4000.000;6647.090
2025-06-23;2025-06-21;5484553853;7-ELEVEN HOR/25-06-20;-59.000;2647.090
2025-06-23;2025-06-21;5484553837;7-ELEVEN HOR/25-06-20;-28.000;2706.090
2025-06-23;2025-06-21;5484062484;SL          /25-06-20;-86.000;2734.090
2025-06-23;2025-06-20;5484405622;COOP KONSUM /25-06-19;-30.000;2820.090
2025-06-23;2025-06-20;5484405618;COOP KONSUM /25-06-19;-349.050;2850.090
2025-06-23;2025-06-20;5484405536;COOP KONSUM /25-06-19;-23.500;3199.140
2025-06-19;2025-06-19;5484822463;PIZZERIA RUN/25-06-18;-115.000;3222.640
2025-06-19;2025-06-19;5484020176;SYSTEMBOLAGE/25-06-18;-158.000;3337.640
2025-06-17;2025-06-17;5484745379;OKQ8        /25-06-15;-362.000;3495.640
2025-06-17;2025-06-17;5484525459;ICA NARA BER/25-06-16;-31.000;3857.640
2025-06-16;2025-06-16;5484696846;COOP KONSUM /25-06-15;-113.350;3888.640
2025-06-16;2025-06-16;5490990789;SVEA BANK AB;-1747.000;4001.990
2025-06-16;2025-06-16;5490990004;PETER HENELL;2000.000;5748.990
2025-06-16;2025-06-15;5484613463;SL          /25-06-13;-86.000;3748.990
2025-06-16;2025-06-14;5484793489;RESTAURANGSM/25-06-13;-135.000;3834.990
2025-06-13;2025-06-13;5484462612;ICA NARA BER/25-06-12;-239.400;3969.990
2025-06-13;2025-06-13;5484361519;COOP KONSUM /25-06-12;-7.500;4209.390
2025-06-13;2025-06-13;5490990004;PETER HENELL;3000.000;4216.890
2025-06-12;2025-06-12;5484834094;SYSTEMBOLAGE/25-06-11;-789.000;1216.890
2025-06-12;2025-06-12;5484317891;SUSHI YAMA S/25-06-11;-180.000;2005.890
2025-06-12;2025-06-12;5484526942;SL          /25-06-11;-86.000;2185.890
2025-06-11;2025-06-11;5484538716;SYSTEMBOLAGE/25-06-10;-789.400;2271.890
2025-06-11;2025-06-11;5484383365;OKQ8        /25-06-07;-672.320;3061.290
2025-06-11;2025-06-11;5484196192;COOR POSTNOR/25-06-10;-122.000;3733.610
2025-06-11;2025-06-11;5484354972;SL          /25-06-10;-86.000;3855.610
2025-06-09;2025-06-08;5484125257;COOP KONSUM /25-06-07;-121.850;3941.610
2025-06-09;2025-06-06;5484132428;RESTAURANGSM/25-06-05;-338.000;4063.460
2025-06-09;2025-06-06;5484132423;RESTAURANGSM/25-06-05;-135.000;4401.460
2025-06-05;2025-06-05;5484447364;SL          /25-06-03;-86.000;4536.460
2025-06-05;2025-06-05;5484442519;COOP KONSUM /25-06-04;-402.030;4622.460
2025-06-04;2025-06-04;5484336286;ASPLUND PA T/25-06-03;-135.000;5024.490
2025-06-04;2025-06-04;5484732249;COOP KONSUM /25-06-03;-72.450;5159.490
2025-06-02;2025-06-02;5484088852;SODRA TEATER/25-06-01;-378.000;5231.940
2025-06-02;2025-06-02;5484088845;SODRA TEATER/25-06-01;-378.000;5609.940
2025-06-02;2025-06-02;5484088844;SODRA TEATER/25-06-01;-88.000;5987.940
2025-06-02;2025-06-02;5484548073;SL          /25-06-01;-86.000;6075.940
2025-06-02;2025-06-02;5484301281;BERGSHAMRA P/25-06-01;-115.000;6161.940
2025-06-02;2025-06-02;5490990004;PETER HENELL;5000.000;6276.940
2025-06-02;2025-05-31;5484788656;RESTAURANGSM/25-05-30;-135.000;1276.940
2025-06-02;2025-05-31;5484342568;COOP KONSUM /25-05-30;-95.530;1411.940
2025-06-02;2025-05-31;5484342531;COOP KONSUM /25-05-30;-11.500;1507.470
2025-06-02;2025-05-31;5484278918;SL          /25-05-30;-43.000;1518.970
2025-05-30;2025-05-30;5484794903;RESTAURANGSM/25-05-29;-338.000;1561.970
2025-05-26;2025-05-24;5484286971;COOP KONSUM /25-05-23;-574.490;1899.970
2025-05-23;2025-05-23;5484447540;NATURBOKHAND/25-05-22;-21.000;2474.460
2025-05-19;2025-05-19;5484406325;MILLA PIZZER/25-05-18;-160.000;2495.460
2025-05-19;2025-05-19;5484132766;HOTEL SKANSE/25-05-18;-1300.000;2655.460
2025-05-19;2025-05-19;5484055282;INGO FERJEST/25-05-18;-495.240;3955.460
2025-05-19;2025-05-19;5484658349;COOP FÄRJEST/25-05-18;-133.400;4450.700
2025-05-19;2025-05-18;5490990789;46735883291;-250.000;4584.100
2025-05-19;2025-05-18;5490990789;1235712187;-95.000;4834.100
2025-05-19;2025-05-17;5484509578;GAMMALSBYGAR/25-05-16;-1455.000;4929.100
2025-05-19;2025-05-17;5484302874;ICA SUPERMAR/25-05-16;-81.900;6384.100
